DATE,PAYEMS
2014-01-01,137548
2014-02-01,137714
2014-03-01,137968
2014-04-01,138293
2014-05-01,138511
2014-06-01,138837
2014-07-01,139069
2014-08-01,139257
2014-09-01,139566
2014-10-01,139818
2014-11-01,140109
2014-12-01,140377
2015-01-01,140568
2015-02-01,140839
2015-03-01,140910
2015-04-01,141194
2015-05-01,141525
2015-06-01,141699
2015-07-01,142001
2015-08-01,142126
2015-09-01,142281
2015-10-01,142587
2015-11-01,142824
2015-12-01,143097
2016-01-01,143205
2016-02-01,143417
2016-03-01,143654
2016-04-01,143851
2016-05-01,143892
2016-06-01,144150
2016-07-01,144521
2016-08-01,144664
2016-09-01,144953
2016-10-01,145071
2016-11-01,145201
2016-12-01,145415
2017-01-01,145612
2017-02-01,145795
2017-03-01,145934
2017-04-01,146154
2017-05-01,146295
2017-06-01,146506
2017-07-01,146734
2017-08-01,146924
2017-09-01,146966
2017-10-01,147215
2017-11-01,147411
2017-12-01,147590
2018-01-01,147671
2018-02-01,148049
2018-03-01,148244
2018-04-01,148397
2018-05-01,148667
2018-06-01,148881
2018-07-01,149030
2018-08-01,149259
2018-09-01,149364
2018-10-01,149576
2018-11-01,149668
2018-12-01,149908
2019-01-01,150145
