DATE,T10YFF
2014-03-03,2.53
2014-03-04,2.63
2014-03-05,2.62
2014-03-06,2.66
2014-03-07,2.72
2014-03-10,2.71
2014-03-11,2.69
2014-03-12,2.65
2014-03-13,2.58
2014-03-14,2.57
2014-03-17,2.62
2014-03-18,2.60
2014-03-19,2.70
2014-03-20,2.71
2014-03-21,2.67
2014-03-24,2.65
2014-03-25,2.66
2014-03-26,2.63
2014-03-27,2.61
2014-03-28,2.65
2014-03-31,2.67
2014-04-01,2.69
2014-04-02,2.73
2014-04-03,2.72
2014-04-04,2.66
2014-04-07,2.62
2014-04-08,2.61
2014-04-09,2.63
2014-04-10,2.57
2014-04-11,2.54
2014-04-14,2.56
2014-04-15,2.54
2014-04-16,2.56
2014-04-17,2.64
2014-04-18,.
2014-04-21,2.63
2014-04-22,2.63
2014-04-23,2.60
2014-04-24,2.60
2014-04-25,2.59
2014-04-28,2.61
2014-04-29,2.61
2014-04-30,2.58
2014-05-01,2.54
2014-05-02,2.51
2014-05-05,2.54
2014-05-06,2.52
2014-05-07,2.54
2014-05-08,2.53
2014-05-09,2.54
2014-05-12,2.58
2014-05-13,2.52
2014-05-14,2.46
2014-05-15,2.41
2014-05-16,2.43
2014-05-19,2.45
2014-05-20,2.43
2014-05-21,2.45
2014-05-22,2.47
2014-05-23,2.45
2014-05-26,.
2014-05-27,2.43
2014-05-28,2.35
2014-05-29,2.36
2014-05-30,2.40
2014-06-02,2.45
2014-06-03,2.50
2014-06-04,2.52
2014-06-05,2.50
2014-06-06,2.51
2014-06-09,2.53
2014-06-10,2.55
2014-06-11,2.56
2014-06-12,2.49
2014-06-13,2.50
2014-06-16,2.51
2014-06-17,2.56
2014-06-18,2.51
2014-06-19,2.54
2014-06-20,2.53
2014-06-23,2.53
2014-06-24,2.49
2014-06-25,2.47
2014-06-26,2.43
2014-06-27,2.44
2014-06-30,2.44
2014-07-01,2.48
2014-07-02,2.54
2014-07-03,2.56
2014-07-04,.
2014-07-07,2.53
2014-07-08,2.49
2014-07-09,2.48
2014-07-10,2.46
2014-07-11,2.44
2014-07-14,2.46
2014-07-15,2.47
2014-07-16,2.46
2014-07-17,2.38
2014-07-18,2.41
2014-07-21,2.39
2014-07-22,2.39
2014-07-23,2.39
2014-07-24,2.43
2014-07-25,2.39
2014-07-28,2.41
2014-07-29,2.38
2014-07-30,2.48
2014-07-31,2.50
2014-08-01,2.43
2014-08-04,2.42
2014-08-05,2.40
2014-08-06,2.40
2014-08-07,2.34
2014-08-08,2.35
2014-08-11,2.35
2014-08-12,2.37
2014-08-13,2.34
2014-08-14,2.31
2014-08-15,2.25
2014-08-18,2.30
2014-08-19,2.31
2014-08-20,2.34
2014-08-21,2.32
2014-08-22,2.31
2014-08-25,2.30
2014-08-26,2.30
2014-08-27,2.28
2014-08-28,2.25
2014-08-29,2.28
2014-09-01,.
2014-09-02,2.33
2014-09-03,2.32
2014-09-04,2.36
2014-09-05,2.37
2014-09-08,2.39
2014-09-09,2.41
2014-09-10,2.45
2014-09-11,2.45
2014-09-12,2.53
2014-09-15,2.51
2014-09-16,2.51
2014-09-17,2.53
2014-09-18,2.54
2014-09-19,2.50
2014-09-22,2.48
2014-09-23,2.45
2014-09-24,2.48
2014-09-25,2.43
2014-09-26,2.45
2014-09-29,2.42
2014-09-30,2.45
2014-10-01,2.33
2014-10-02,2.35
2014-10-03,2.36
2014-10-06,2.34
2014-10-07,2.27
2014-10-08,2.26
2014-10-09,2.26
2014-10-10,2.22
2014-10-13,.
2014-10-14,2.12
2014-10-15,2.06
2014-10-16,2.08
